1.4000000000e+000 3.5815050000e-001
1.4100000000e+000 3.6129880000e-001
1.4200000000e+000 3.6337360000e-001
1.4300000000e+000 3.6524980000e-001
1.4400000000e+000 3.6593410000e-001
1.4500000000e+000 3.6548330000e-001
1.4600000000e+000 3.6447830000e-001
1.4700000000e+000 3.6200440000e-001
1.4800000000e+000 3.5923330000e-001
1.4900000000e+000 3.5528060000e-001
1.5000000000e+000 3.5102910000e-001
1.5100000000e+000 3.4571280000e-001
1.5200000000e+000 3.3943100000e-001
1.5300000000e+000 3.3263630000e-001
1.5400000000e+000 3.2438060000e-001
1.5500000000e+000 3.1603270000e-001
1.5600000000e+000 3.0666550000e-001
1.5700000000e+000 2.9649250000e-001
1.5800000000e+000 2.8679580000e-001
1.5900000000e+000 2.7659680000e-001
1.6000000000e+000 2.6556480000e-001
1.6100000000e+000 2.5545540000e-001
1.6200000000e+000 2.4439830000e-001
1.6300000000e+000 2.3305240000e-001
1.6400000000e+000 2.2138110000e-001
1.6500000000e+000 2.0953230000e-001
1.6600000000e+000 1.9774860000e-001
1.6700000000e+000 1.8442890000e-001
1.6800000000e+000 1.7320830000e-001
1.6900000000e+000 1.6103320000e-001
1.7000000000e+000 1.4881050000e-001
