1.4000000000e+000 1.5948730000e-001
1.4100000000e+000 1.5599900000e-001
1.4200000000e+000 1.5508490000e-001
1.4300000000e+000 1.5582880000e-001
1.4400000000e+000 1.5951930000e-001
1.4500000000e+000 1.6586210000e-001
1.4600000000e+000 1.7426030000e-001
1.4700000000e+000 1.8528100000e-001
1.4800000000e+000 1.9820510000e-001
1.4900000000e+000 2.1341470000e-001
1.5000000000e+000 2.3119150000e-001
1.5100000000e+000 2.5003310000e-001
1.5200000000e+000 2.7123920000e-001
1.5300000000e+000 2.9332650000e-001
1.5400000000e+000 3.1723720000e-001
1.5500000000e+000 3.4306720000e-001
1.5600000000e+000 3.7006540000e-001
1.5700000000e+000 3.9921410000e-001
1.5800000000e+000 4.2728020000e-001
1.5900000000e+000 4.5476420000e-001
1.6000000000e+000 4.8396750000e-001
1.6100000000e+000 5.1316920000e-001
1.6200000000e+000 5.4239110000e-001
1.6300000000e+000 5.7203300000e-001
1.6400000000e+000 6.0020060000e-001
1.6500000000e+000 6.2971950000e-001
1.6600000000e+000 6.5819720000e-001
1.6700000000e+000 6.8614800000e-001
1.6800000000e+000 7.1371020000e-001
1.6900000000e+000 7.3991720000e-001
1.7000000000e+000 7.5938840000e-001
